index,syst,chain,tm1,tm2,min,max,pdb
 201,2nph_S_A-B-S-T_0,B,0.173,0.293,0.173,0.293,2nph
 202,1d00_I_A-I_0,A,0.278,0.334,0.278,0.334,1d00
 203,4z8j_B_A-B_0,A,0.165,0.282,0.165,0.282,4z8j
 204,1yti_I_A-I_0,A,0.173,0.287,0.173,0.287,1yti
 205,1yti_I_A-I_0,B,0.173,0.287,0.173,0.287,1yti
 206,6hpg_c_C-c_2,C,0.184,0.272,0.184,0.272,6hpg
 207,4ezy_B_A-B_2,A,0.255,0.249,0.249,0.255,4ezy
 208,3gq1_C_A-C_0,A,0.211,0.397,0.211,0.397,3gq1
 209,2d5w_C_A-C_0,A,0.304,0.146,0.146,0.304,2d5w
 210,2fib_B_A-B_0,A,0.265,0.237,0.237,0.265,2fib
 211,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.185,0.343,0.185,0.343,2y1l
 212,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.229,0.289,0.229,0.289,2y1l
 213,4j78_B_A-B_0,A,0.236,0.187,0.187,0.236,4j78
 214,1jwg_D_B-D_1,B,0.170,0.228,0.170,0.228,1jwg
 215,4ouc_B_A-B_0,A,0.302,0.225,0.225,0.302,4ouc
 216,6eja_B_A-B_0,A,0.326,0.134,0.134,0.326,6eja
 217,4gne_B_A-B_0,A,0.192,0.302,0.192,0.302,4gne
 218,3ivq_D_B-D_1,B,0.286,0.400,0.286,0.400,3ivq
 219,4j77_D_B-D_1,B,0.231,0.183,0.183,0.231,4j77
 220,3drk_B_A-B_0,A,0.389,0.189,0.189,0.389,3drk
 221,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.260,0.385,0.260,0.385,1kl3
 222,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.256,0.375,0.256,0.375,1kl3
 223,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.336,0.287,0.287,0.336,5fjz
 224,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.325,0.279,0.279,0.325,5fjz
 225,1sdz_B_A-B_0,A,0.190,0.324,0.190,0.324,1sdz
 226,4q6f_H_C-H_2,C,0.107,0.267,0.107,0.267,4q6f
 227,5m5t_E_A-E-G-I_0,A,0.292,0.205,0.205,0.292,5m5t
 228,5xcr_F_D-E-F_1,D,0.461,0.595,0.461,0.595,5xcr
 229,5xcr_F_D-E-F_1,E,0.492,0.634,0.492,0.634,5xcr
 230,3drj_B_A-B_0,A,0.389,0.186,0.186,0.389,3drj
 231,4ztd_F_A-B-C-D-E-F_0,C,0.229,0.204,0.204,0.229,4ztd
 232,3rte_B_A-B_0,G,0.296,0.163,0.163,0.296,3rte
 233,3rte_B_A-B_0,A,0.296,0.163,0.163,0.296,3rte
 234,1s2k_B_A-B_0,A,0.256,0.266,0.256,0.266,1s2k
 235,5fow_E_A-E_0,A,0.258,0.250,0.250,0.258,5fow
 236,1b46_B_A-B_0,A,0.360,0.187,0.187,0.360,1b46
 237,1b4z_B_A-B_0,A,0.345,0.180,0.180,0.345,1b4z
 238,3nfk_D_A-B-C-D_2,B,0.168,0.304,0.168,0.304,3nfk
 239,1w9e_S_A-B-R-S-T_0,B,0.225,0.269,0.225,0.269,1w9e
 240,1h27_E_A-B-E_0,B,0.264,0.231,0.231,0.264,1h27
