index,syst,chain,tm1,tm2,min,max,pdb
 194,1se0_B_A-B_0,A,0.230,0.262,0.230,0.262,1se0
 195,5fou_C_A-C_0,A,0.286,0.192,0.192,0.286,5fou
 196,5iza_B_A-B_0,A,0.289,0.132,0.132,0.289,5iza
 197,5fov_E_A-E_0,A,0.286,0.194,0.194,0.286,5fov
 198,4z88_V_J-V_1,J,0.277,0.404,0.277,0.404,4z88
 199,1obz_P_A-B-P_0,A,0.298,0.242,0.242,0.298,1obz
 200,3fwv_C_A-C_0,A,0.261,0.252,0.252,0.261,3fwv
 201,1jwg_D_B-D_1,B,0.318,0.288,0.288,0.318,1jwg
 202,4k72_C_A-C_0,A,0.268,0.333,0.268,0.333,4k72
 203,5fow_E_A-E_0,A,0.296,0.201,0.201,0.296,5fow
 204,4g69_B_A-B_0,A,0.265,0.308,0.265,0.308,4g69
 205,1ghb_P_E-F-G-P_0,F,0.271,0.258,0.258,0.271,1ghb
 206,1ghb_P_E-F-G-P_0,G,0.334,0.388,0.334,0.388,1ghb
 207,1ghb_P_E-F-G-P_0,C,0.334,0.388,0.334,0.388,1ghb
 208,1ghb_P_E-F-G-P_0,B,0.271,0.258,0.258,0.271,1ghb
 209,3upv_B_A-B_0,A,0.266,0.261,0.261,0.266,3upv
 210,2zjd_D_C-D_5,C,0.277,0.277,0.277,0.277,2zjd
 211,3fp2_Q_A-Q_0,A,0.295,0.107,0.107,0.295,3fp2
 212,3psl_D_B-D_1,B,0.349,0.182,0.182,0.349,3psl
 213,5tu5_B_A-B_0,A,0.412,0.220,0.220,0.412,5tu5
 214,5eyz_E_A-E_0,A,0.275,0.328,0.275,0.328,5eyz
 215,2ipu_P_G-K-P_1,G,0.316,0.214,0.214,0.316,2ipu
 216,2ipu_P_G-K-P_1,K,0.271,0.182,0.182,0.271,2ipu
 217,5sxm_D_B-D_1,B,0.360,0.165,0.165,0.360,5sxm
 218,1ddv_B_A-B_0,A,0.298,0.326,0.298,0.326,1ddv
 219,1b05_B_A-B_0,A,0.347,0.124,0.124,0.347,1b05
 220,5v5p_A_A-B-C_0,C,0.279,0.105,0.105,0.279,5v5p
 221,4j46_B_A-B_0,A,0.254,0.325,0.254,0.325,4j46
 222,1qka_B_A-B_0,A,0.366,0.126,0.126,0.366,1qka
 223,4z0u_D_A-D_0,A,0.270,0.229,0.229,0.270,4z0u
 224,5wir_D_A-B-C-D_0,B,0.313,0.205,0.205,0.313,5wir
 225,1wcy_C_A-B-C-D_0,A,0.414,0.083,0.083,0.414,1wcy
 226,4o51_N_A-B-N_1,A,0.279,0.199,0.199,0.279,4o51
 227,4o51_N_A-B-N_1,B,0.286,0.190,0.190,0.286,4o51
 228,1tw6_C_A-B-C-D_2,F,0.265,0.310,0.265,0.310,1tw6
 229,1tw6_C_A-B-C-D_2,A,0.258,0.314,0.258,0.314,1tw6
 230,5y53_F_C-E-F_1,C,0.334,0.318,0.318,0.334,5y53
 231,5y53_F_C-E-F_1,E,0.337,0.321,0.321,0.337,5y53
 232,4j78_B_A-B_0,A,0.354,0.172,0.172,0.354,4j78
 233,4j47_B_A-B_0,A,0.211,0.276,0.211,0.276,4j47
 234,4v3i_B_A-B_0,A,0.297,0.256,0.256,0.297,4v3i
 235,4fii_B_A-B_0,A,0.329,0.179,0.179,0.329,4fii
 236,4jjq_B_A-B_0,A,0.310,0.287,0.287,0.310,4jjq
 237,4ny3_C_A-C_0,A,0.318,0.174,0.174,0.318,4ny3
 238,4j79_B_A-B_0,A,0.354,0.171,0.171,0.354,4j79
 239,3lny_B_A-B_0,A,0.283,0.336,0.283,0.336,3lny
 240,4k76_G_C-G_2,C,0.271,0.340,0.271,0.340,4k76
 241,3m5o_C_A-C_0,A,0.247,0.179,0.179,0.247,3m5o
 242,2h2f_B_A-B_0,A,0.292,0.178,0.178,0.292,2h2f
 243,3uoa_L_B-C-L-M_0,B,0.320,0.149,0.149,0.320,3uoa
 244,3mqr_B_A-B_0,A,0.312,0.289,0.289,0.312,3mqr
 245,2dze_X_A-B-X_0,A,0.352,0.292,0.292,0.352,2dze
 246,2dze_X_A-B-X_0,B,0.352,0.291,0.291,0.352,2dze
 247,1yti_I_A-I_0,A,0.274,0.313,0.274,0.313,1yti
 248,1yti_I_A-I_0,B,0.274,0.313,0.274,0.313,1yti
 249,5huw_B_A-B-C_0,C,0.281,0.107,0.107,0.281,5huw
 250,1fch_C_A-B-C-D_2,F,0.339,0.175,0.175,0.339,1fch
 251,1fch_C_A-B-C-D_2,A,0.341,0.174,0.174,0.341,1fch
 252,3rta_B_A-B_0,F,0.323,0.116,0.116,0.323,3rta
 253,3rta_B_A-B_0,A,0.323,0.116,0.116,0.323,3rta
 254,2fop_B_A-B_0,A,0.311,0.289,0.289,0.311,2fop
 255,3jrv_D_B-D_1,B,0.353,0.316,0.316,0.353,3jrv
 256,3f6k_N_A-N_0,A,0.373,0.102,0.102,0.373,3f6k
 257,5elq_P_A-P_0,A,0.262,0.314,0.262,0.314,5elq
 258,4j81_C_B-C_1,B,0.354,0.171,0.171,0.354,4j81
 259,4j8b_B_A-B_0,A,0.378,0.175,0.175,0.378,4j8b
