index,syst,chain,tm1,tm2,min,max,pdb
 115,5k4f_C_A-C_0,A,0.252,0.340,0.252,0.340,5k4f
 116,4jmy_E_A-C-E_0,A,0.295,0.239,0.239,0.295,4jmy
 117,1mfl_B_A-B_0,A,0.307,0.376,0.307,0.376,1mfl
 118,6cd8_C_A-C_0,A,0.342,0.289,0.289,0.342,6cd8
 119,4jop_C_A-C_0,A,0.266,0.338,0.266,0.338,4jop
 120,5v5p_A_A-B-C_0,C,0.337,0.132,0.132,0.337,5v5p
 121,3tcg_I_A-I_0,A,0.364,0.131,0.131,0.364,3tcg
 122,4f75_C_A-B-C-D_0,A,0.274,0.329,0.274,0.329,4f75
 123,4f75_C_A-B-C-D_0,B,0.273,0.328,0.273,0.328,4f75
 124,5fou_C_A-C_0,A,0.367,0.234,0.234,0.367,5fou
 125,2h59_D_A-B-D-E_0,A,0.351,0.226,0.226,0.351,2h59
 126,2h59_D_A-B-D-E_0,B,0.349,0.225,0.225,0.349,2h59
 127,1str_M_B-D-M-P_0,C,0.316,0.332,0.316,0.332,1str
 128,1str_M_B-D-M-P_0,B,0.312,0.324,0.312,0.324,1str
 129,6hpg_c_C-c_2,C,0.273,0.293,0.273,0.293,6hpg
 130,1s2k_B_A-B_0,A,0.352,0.262,0.262,0.352,1s2k
 131,3t64_F_A-B-C-F_0,A,0.320,0.289,0.289,0.320,3t64
 132,3t64_F_A-B-C-F_0,B,0.317,0.311,0.311,0.317,3t64
 133,1gyb_E_A-B-E-F_0,A,0.321,0.337,0.321,0.337,1gyb
 134,1gyb_E_A-B-E-F_0,B,0.323,0.341,0.323,0.341,1gyb
 135,3q49_C_B-C_0,B,0.316,0.314,0.314,0.316,3q49
 136,1ddv_B_A-B_0,A,0.256,0.299,0.256,0.299,1ddv
 137,4j79_B_A-B_0,A,0.349,0.196,0.196,0.349,4j79
 138,4m38_E_A-B-E-F_0,A,0.292,0.141,0.141,0.292,4m38
 139,2y7l_B_A-B_0,A,0.342,0.187,0.187,0.342,2y7l
 140,5lyn_C_A-B-C-D_0,A,0.287,0.285,0.285,0.287,5lyn
 141,5lyn_C_A-B-C-D_0,B,0.322,0.318,0.318,0.322,5lyn
 142,1e4x_P_H-L-P_0,L,0.340,0.234,0.234,0.340,1e4x
 143,1e4x_P_H-L-P_0,H,0.347,0.240,0.240,0.347,1e4x
 144,3nin_E_B-E_1,B,0.233,0.311,0.233,0.311,3nin
 145,1qka_B_A-B_0,A,0.364,0.130,0.130,0.364,1qka
 146,3emh_B_A-B_0,A,0.346,0.196,0.196,0.346,3emh
 147,1b5i_B_A-B_0,A,0.370,0.138,0.138,0.370,1b5i
 148,4k3o_E_A-B-E_0,A,0.348,0.155,0.155,0.348,4k3o
 149,5m5r_D_A-C-D_0,A,0.304,0.150,0.150,0.304,5m5r
 150,2d5w_C_A-C_0,A,0.405,0.126,0.126,0.405,2d5w
 151,2fop_B_A-B_0,A,0.319,0.309,0.309,0.319,2fop
 152,3zvy_D_B-D_0,B,0.187,0.278,0.187,0.278,3zvy
 153,5ovc_B_A-B_0,A,0.296,0.368,0.296,0.368,5ovc
 154,1yti_I_A-I_0,A,0.277,0.330,0.277,0.330,1yti
 155,1yti_I_A-I_0,B,0.277,0.330,0.277,0.330,1yti
 156,3rc5_B_A-B_0,A,0.297,0.224,0.224,0.297,3rc5
 157,4kg9_B_A-B_0,A,0.311,0.300,0.300,0.311,4kg9
 158,5wir_D_A-B-C-D_0,B,0.375,0.275,0.275,0.375,5wir
 159,3ifo_P_H-L-P_0,L,0.338,0.236,0.236,0.338,3ifo
 160,3ifo_P_H-L-P_0,H,0.306,0.215,0.215,0.306,3ifo
