index,syst,chain,tm1,tm2,min,max,pdb
 125,3nfk_D_A-B-C-D_2,B,0.114,0.262,0.114,0.262,3nfk
 126,4quh_D_A-C-D-I-J_0,A,0.260,0.310,0.260,0.310,4quh
 127,6cd9_B_A-B_0,A,0.182,0.282,0.182,0.282,6cd9
 128,3emh_B_A-B_0,A,0.322,0.324,0.322,0.324,3emh
 129,6exj_B_A-B_0,A,0.126,0.286,0.126,0.286,6exj
 130,4pz3_C_A-B-C_0,B,0.188,0.316,0.188,0.316,4pz3
 131,5fou_C_A-C_0,A,0.305,0.372,0.305,0.372,5fou
 132,3oqs_B_A-B_0,A,0.394,0.305,0.305,0.394,3oqs
 133,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.144,0.269,0.144,0.269,1kl3
 134,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.142,0.271,0.142,0.271,1kl3
 135,2v5w_G_B-G-L_1,B,0.366,0.318,0.318,0.366,2v5w
 136,3g19_C_A-C_0,A,0.145,0.409,0.145,0.409,3g19
 137,1rzx_B_A-B_0,A,0.118,0.254,0.118,0.254,1rzx
 138,1obz_P_A-B-P_0,A,0.196,0.299,0.196,0.299,1obz
 139,3drk_B_A-B_0,A,0.339,0.215,0.215,0.339,3drk
 140,3lny_B_A-B_0,A,0.128,0.285,0.128,0.285,3lny
 141,3rte_B_A-B_0,G,0.344,0.241,0.241,0.344,3rte
 142,3rte_B_A-B_0,A,0.344,0.241,0.241,0.344,3rte
 143,3f7o_X_A-X_0,A,0.320,0.333,0.320,0.333,3f7o
 144,4f74_C_A-B-C_0,A,0.177,0.394,0.177,0.394,4f74
 145,4f74_C_A-B-C_0,B,0.177,0.390,0.177,0.390,4f74
 146,1se0_B_A-B_0,A,0.170,0.363,0.170,0.363,1se0
 147,2nph_S_A-B-S-T_0,A,0.172,0.378,0.172,0.378,2nph
 148,2nph_S_A-B-S-T_0,B,0.162,0.352,0.162,0.352,2nph
 149,3vqg_B_A-B_0,A,0.115,0.268,0.115,0.268,3vqg
 150,4ouc_B_A-B_0,A,0.269,0.253,0.253,0.269,4ouc
 151,4j78_B_A-B_0,A,0.305,0.307,0.305,0.307,4j78
 152,1b3l_B_A-B_0,A,0.322,0.220,0.220,0.322,1b3l
 153,4wvh_C_A-C_0,A,0.310,0.206,0.206,0.310,4wvh
 154,5huw_B_A-B-C_0,C,0.396,0.308,0.308,0.396,5huw
 155,1yth_I_A-B-I_0,A,0.177,0.393,0.177,0.393,1yth
 156,1yth_I_A-B-I_0,B,0.176,0.384,0.176,0.384,1yth
 157,4ezn_C_A-B-C-D_0,A,0.202,0.263,0.202,0.263,4ezn
 158,4joh_D_A-D_0,A,0.119,0.291,0.119,0.291,4joh
 159,1b46_B_A-B_0,A,0.321,0.217,0.217,0.321,1b46
 160,6ew9_P_A-B-C-P-Q-R_0,A,0.247,0.245,0.245,0.247,6ew9
 161,1b4z_B_A-B_0,A,0.320,0.217,0.217,0.320,1b4z
 162,2x6m_B_A-B_0,A,0.151,0.283,0.151,0.283,2x6m
 163,4m38_E_A-B-E-F_0,A,0.301,0.279,0.279,0.301,4m38
 164,5oj5_B_A-B_0,A,0.299,0.294,0.294,0.299,5oj5
 165,5fox_C_A-C_0,A,0.264,0.323,0.264,0.323,5fox
 166,5nqv_G_A-C-E-G_0,C,0.277,0.390,0.277,0.390,5nqv
 167,3ivq_D_B-D_1,B,0.169,0.300,0.169,0.300,3ivq
 168,5iza_B_A-B_0,A,0.369,0.337,0.337,0.369,5iza
 169,1b40_B_A-B_0,A,0.322,0.217,0.217,0.322,1b40
 170,4ba3_B_A-B_0,A,0.394,0.303,0.303,0.394,4ba3
 171,5y53_F_C-E-F_1,C,0.203,0.359,0.203,0.359,5y53
 172,5y53_F_C-E-F_1,E,0.205,0.359,0.205,0.359,5y53
 173,1v1t_S_A-B-S-T_0,B,0.193,0.295,0.193,0.295,1v1t
 174,5m5r_D_A-C-D_0,A,0.302,0.267,0.267,0.302,5m5r
 175,4j81_C_B-C_1,B,0.304,0.305,0.304,0.305,4j81
