index,syst,chain,tm1,tm2,min,max,pdb
 245,4fys_C_A-C_0,A,0.419,0.087,0.087,0.419,4fys
 246,2bgr_Y_A-B-Y-Z_0,A,0.401,0.097,0.097,0.401,2bgr
 247,4jjq_B_A-B_0,A,0.370,0.344,0.344,0.370,4jjq
 248,4ynl_C_A-B-C-D_0,A,0.217,0.283,0.217,0.283,4ynl
 249,4ynl_C_A-B-C-D_0,B,0.210,0.266,0.210,0.266,4ynl
 250,3hda_Z_P-Z_0,P,0.301,0.135,0.135,0.301,3hda
 251,4z0u_D_A-D_0,A,0.351,0.301,0.301,0.351,4z0u
 252,4j77_D_B-D_1,B,0.362,0.184,0.184,0.362,4j77
 253,3sjk_B_A-B_0,A,0.325,0.253,0.253,0.325,3sjk
 254,1evh_B_A-B_0,A,0.327,0.350,0.327,0.350,1evh
 255,2d5w_C_A-C_0,A,0.371,0.108,0.108,0.371,2d5w
 256,4b8o_C_A-B-C_0,A,0.269,0.112,0.112,0.269,4b8o
 257,1tw6_C_A-B-C-D_2,F,0.249,0.294,0.249,0.294,1tw6
 258,1tw6_C_A-B-C-D_2,A,0.249,0.302,0.249,0.302,1tw6
 259,5m5v_G_A-E-G-I_0,A,0.396,0.179,0.179,0.396,5m5v
 260,1str_M_B-D-M-P_0,C,0.960,0.976,0.960,0.976,1str
 261,1str_M_B-D-M-P_0,B,0.998,0.998,0.998,0.998,1str
 262,2h2f_B_A-B_0,A,0.299,0.189,0.189,0.299,2h2f
 263,4b3b_C_A-C_0,A,0.313,0.209,0.209,0.313,4b3b
 264,4v3i_B_A-B_0,A,0.270,0.234,0.234,0.270,4v3i
 265,4ny3_C_A-C_0,A,0.298,0.161,0.161,0.298,4ny3
 266,3nih_B_A-B_0,A,0.195,0.255,0.195,0.255,3nih
 267,1w9e_S_A-B-R-S-T_0,B,0.296,0.242,0.242,0.296,1w9e
 268,4j46_B_A-B_0,A,0.248,0.310,0.248,0.310,4j46
 269,4ojf_A_A-H-L_0,L,0.359,0.244,0.244,0.359,4ojf
 270,4ojf_A_A-H-L_0,H,0.414,0.278,0.278,0.414,4ojf
 271,4j47_B_A-B_0,A,0.247,0.308,0.247,0.308,4j47
 272,1rzx_B_A-B_0,A,0.258,0.301,0.258,0.301,1rzx
 273,2b6n_B_A-B_0,A,0.327,0.186,0.186,0.327,2b6n
 274,3emh_B_A-B_0,A,0.352,0.189,0.189,0.352,3emh
 275,4j78_B_A-B_0,A,0.358,0.190,0.190,0.358,4j78
 276,1b9j_B_A-B_0,A,0.369,0.126,0.126,0.369,1b9j
 277,2zgh_B_A-B_0,A,0.355,0.227,0.227,0.355,2zgh
