index,syst,chain,tm1,tm2,min,max,pdb
 117,3drk_B_A-B_0,A,0.340,0.102,0.102,0.340,3drk
 118,1str_M_B-D-M-P_0,C,1.000,1.000,1.000,1.000,1str
 119,1str_M_B-D-M-P_0,B,0.976,0.961,0.961,0.976,1str
 120,3drj_B_A-B_0,A,0.327,0.109,0.109,0.327,3drj
 121,3fp4_Q_A-Q_0,A,0.294,0.109,0.109,0.294,3fp4
 122,4ezq_B_A-B_1,A,0.362,0.237,0.237,0.362,4ezq
 123,1fch_C_A-B-C-D_2,F,0.284,0.152,0.152,0.284,1fch
 124,1fch_C_A-B-C-D_2,A,0.288,0.151,0.151,0.288,1fch
 125,3nij_B_A-B_0,A,0.214,0.276,0.214,0.276,3nij
 126,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.356,0.206,0.206,0.356,5fjz
 127,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.362,0.210,0.210,0.362,5fjz
 128,4pxm_D_A-B-C-D_0,B,0.311,0.200,0.200,0.311,4pxm
 129,2hpl_B_A-B_0,A,0.256,0.285,0.256,0.285,2hpl
 130,1sem_C_A-B-C-D_0,A,0.214,0.316,0.214,0.316,1sem
 131,3psl_D_B-D_1,B,0.347,0.185,0.185,0.347,3psl
 132,5m5t_E_A-E-G-I_0,A,0.364,0.165,0.165,0.364,5m5t
 133,4nnm_C_A-C_0,A,0.277,0.293,0.277,0.293,4nnm
 134,3m5n_F_B-F_1,B,0.294,0.209,0.209,0.294,3m5n
 135,4k75_B_A-B_0,A,0.259,0.329,0.259,0.329,4k75
 136,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.964,0.972,0.964,0.972,1kl5
 137,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.968,0.976,0.968,0.976,1kl5
 138,4b8o_C_A-B-C_0,A,0.275,0.111,0.111,0.275,4b8o
 139,1vwa_M_B-D-M-P_0,C,0.998,0.998,0.998,0.998,1vwa
 140,1vwa_M_B-D-M-P_0,B,0.975,0.959,0.959,0.975,1vwa
 141,4j79_B_A-B_0,A,0.354,0.182,0.182,0.354,4j79
 142,3nfl_G_B-C-F-G_5,C,0.259,0.320,0.259,0.320,3nfl
 143,4que_E_A-C-D-E-H-J_0,A,0.356,0.226,0.226,0.356,4que
 144,3upv_B_A-B_0,A,0.261,0.256,0.256,0.261,3upv
 145,3hds_E_A-D-E_0,D,0.313,0.338,0.313,0.338,3hds
 146,3hds_E_A-D-E_0,A,0.316,0.325,0.316,0.325,3hds
 147,4m38_E_A-B-E-F_0,A,0.351,0.168,0.168,0.351,4m38
 148,1evh_B_A-B_0,A,0.332,0.352,0.332,0.352,1evh
 149,3dri_B_A-B_0,A,0.324,0.106,0.106,0.324,3dri
 150,4o51_N_A-B-N_1,A,0.404,0.271,0.271,0.404,4o51
 151,4o51_N_A-B-N_1,B,0.386,0.267,0.267,0.386,4o51
 152,5xcr_F_D-E-F_1,D,0.377,0.312,0.312,0.377,5xcr
 153,5xcr_F_D-E-F_1,E,0.358,0.293,0.293,0.358,5xcr
 154,2y7l_B_A-B_0,A,0.392,0.200,0.200,0.392,2y7l
 155,3qhw_L_A-B-J-L_0,B,0.293,0.171,0.171,0.293,3qhw
 156,1b46_B_A-B_0,A,0.386,0.124,0.124,0.386,1b46
 157,1b5j_B_A-B_0,A,0.385,0.121,0.121,0.385,1b5j
 158,2wa8_D_C-D_1,C,0.240,0.270,0.240,0.270,2wa8
 159,3rc4_B_A-B_0,A,0.296,0.210,0.210,0.296,3rc4
 160,2h59_D_A-B-D-E_0,A,0.285,0.176,0.176,0.285,2h59
 161,2h59_D_A-B-D-E_0,B,0.281,0.175,0.175,0.281,2h59
 162,1b05_B_A-B_0,A,0.372,0.126,0.126,0.372,1b05
 163,4cic_Q_A-B-Q_0,A,0.253,0.231,0.231,0.253,4cic
 164,4cic_Q_A-B-Q_0,B,0.272,0.251,0.251,0.272,4cic
 165,3o2b_D_C-D_1,C,0.241,0.266,0.241,0.266,3o2b
 166,5huy_B_A-B-C_0,C,0.263,0.112,0.112,0.263,5huy
 167,5oav_B_A-B_0,A,0.211,0.348,0.211,0.348,5oav
 168,5azf_C_A-C_0,A,0.287,0.290,0.287,0.290,5azf
 169,2v5f_X_A-X_0,A,0.232,0.261,0.232,0.261,2v5f
 170,3wor_C_A-B-C-D_0,A,0.381,0.099,0.099,0.381,3wor
 171,4f75_C_A-B-C-D_0,A,0.254,0.288,0.254,0.288,4f75
 172,4f75_C_A-B-C-D_0,B,0.292,0.331,0.292,0.331,4f75
 173,1d0a_G_A-B-C-G-H-I_0,A,0.421,0.333,0.333,0.421,1d0a
 174,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.364,0.169,0.169,0.364,2ot0
