index,syst,chain,tm1,tm2,min,max,pdb
 165,4ynl_C_A-B-C-D_0,B,0.122,0.264,0.122,0.264,4ynl
 166,5v5p_A_A-B-C_0,C,0.240,0.144,0.144,0.240,5v5p
 167,4jjq_B_A-B_0,A,0.288,0.411,0.288,0.411,4jjq
 168,3cvl_B_A-B_0,A,0.254,0.205,0.205,0.254,3cvl
 169,3lca_Q_A-Q_0,A,0.249,0.135,0.135,0.249,3lca
 170,1sts_P_B-D-M-P_0,D,0.262,0.385,0.262,0.385,1sts
 171,1sts_P_B-D-M-P_0,A,0.257,0.372,0.257,0.372,1sts
 172,1elr_B_A-B_0,A,0.191,0.271,0.191,0.271,1elr
 173,4f75_C_A-B-C-D_0,A,0.172,0.298,0.172,0.298,4f75
 174,4f75_C_A-B-C-D_0,B,0.173,0.299,0.173,0.299,4f75
 175,2f5b_P_H-L-P_0,L,0.820,0.820,0.820,0.820,2f5b
 176,2f5b_P_H-L-P_0,H,0.747,0.701,0.701,0.747,2f5b
 177,6cd9_B_A-B_0,A,0.230,0.274,0.230,0.274,6cd9
 178,3l81_B_A-B_0,A,0.315,0.282,0.282,0.315,3l81
 179,5sxm_D_B-D_1,B,0.242,0.191,0.191,0.242,5sxm
 180,3ziq_B_A-B-C_0,A,0.254,0.154,0.154,0.254,3ziq
 181,1kyd_P_A-P_0,A,0.404,0.363,0.363,0.404,1kyd
 182,3uf7_B_A-B-C_0,A,0.234,0.227,0.227,0.234,3uf7
 183,2h2f_B_A-B_0,A,0.251,0.236,0.236,0.251,2h2f
 184,3njj_B_A-B_0,A,0.283,0.464,0.283,0.464,3njj
 185,4es0_C_A-C_0,A,0.250,0.195,0.195,0.250,4es0
 186,1e4x_P_H-L-P_0,L,0.964,0.964,0.964,0.964,1e4x
 187,1e4x_P_H-L-P_0,H,0.800,0.793,0.793,0.800,1e4x
 188,3t70_F_A-B-C-F_0,A,0.277,0.361,0.277,0.361,3t70
 189,3t70_F_A-B-C-F_0,B,0.276,0.382,0.276,0.382,3t70
 190,1oby_Q_A-B-P-Q_0,A,0.173,0.350,0.173,0.350,1oby
 191,1oby_Q_A-B-P-Q_0,B,0.136,0.291,0.136,0.291,1oby
 192,3gq1_C_A-C_0,A,0.203,0.366,0.203,0.366,3gq1
 193,1oxn_F_E-F_7,E,0.182,0.322,0.182,0.322,1oxn
 194,3ny3_B_A-B_0,A,0.164,0.355,0.164,0.355,3ny3
 195,5ovc_B_A-B_0,A,0.172,0.299,0.172,0.299,5ovc
 196,5iag_D_A-B-D_0,A,0.239,0.222,0.222,0.239,5iag
 197,4pz3_C_A-B-C_0,B,0.244,0.314,0.244,0.314,4pz3
 198,5k4f_C_A-C_0,A,0.190,0.357,0.190,0.357,5k4f
 199,5m5r_D_A-C-D_0,A,0.322,0.223,0.223,0.322,5m5r
 200,5fou_C_A-C_0,A,0.250,0.241,0.241,0.250,5fou
 201,3rta_B_A-B_0,F,0.335,0.184,0.184,0.335,3rta
 202,3rta_B_A-B_0,A,0.335,0.184,0.184,0.335,3rta
 203,5fgb_G_B-E-G_1,E,0.615,0.617,0.615,0.617,5fgb
 204,5fgb_G_B-E-G_1,B,0.797,0.803,0.797,0.803,5fgb
 205,5iza_B_A-B_0,A,0.278,0.203,0.203,0.278,5iza
 206,1nvs_B_A-B_0,A,0.262,0.223,0.223,0.262,1nvs
 207,4q6f_H_C-H_2,C,0.100,0.289,0.100,0.289,4q6f
 208,3nfl_G_B-C-F-G_5,C,0.172,0.317,0.172,0.317,3nfl
 209,2v5f_X_A-X_0,A,0.158,0.274,0.158,0.274,2v5f
 210,3soq_Z_A-Z_0,A,0.263,0.205,0.205,0.263,3soq
 211,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.325,0.266,0.266,0.325,2z9i
 212,3f6k_N_A-N_0,A,0.276,0.121,0.121,0.276,3f6k
 213,4bjt_E_B-E_2,B,0.216,0.272,0.216,0.272,4bjt
 214,4que_E_A-C-D-E-H-J_0,A,0.237,0.224,0.224,0.237,4que
 215,4ezq_B_A-B_1,A,0.254,0.252,0.252,0.254,4ezq
 216,6exj_B_A-B_0,A,0.164,0.295,0.164,0.295,6exj
 217,2hl3_C_A-B-C_0,A,0.144,0.275,0.144,0.275,2hl3
 218,2hl3_C_A-B-C_0,B,0.146,0.306,0.146,0.306,2hl3
 219,4k72_C_A-C_0,A,0.191,0.357,0.191,0.357,4k72
 220,4wvh_C_A-C_0,A,0.279,0.151,0.151,0.279,4wvh
 221,5oav_B_A-B_0,A,0.120,0.254,0.120,0.254,5oav
 222,4sga_P_E-P_0,E,0.224,0.255,0.224,0.255,4sga
 223,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.255,0.377,0.255,0.377,1kl3
 224,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.256,0.380,0.256,0.380,1kl3
 225,4c2g_B_A-B-C_0,A,0.261,0.159,0.159,0.261,4c2g
 226,5lb7_C_A-B-C_0,A,0.202,0.239,0.202,0.239,5lb7
 227,5lb7_C_A-B-C_0,B,0.131,0.261,0.131,0.261,5lb7
 228,4ojf_A_A-H-L_0,L,0.813,0.797,0.797,0.813,4ojf
 229,4ojf_A_A-H-L_0,H,0.614,0.603,0.603,0.614,4ojf
 230,2fop_B_A-B_0,A,0.283,0.398,0.283,0.398,2fop
 231,4jok_D_B-D_1,B,0.190,0.357,0.190,0.357,4jok
 232,3zs6_B_A-B_0,A,0.364,0.187,0.187,0.364,3zs6
 233,4g69_B_A-B_0,A,0.168,0.279,0.168,0.279,4g69
 234,4zhb_B_A-B_0,A,0.154,0.248,0.154,0.248,4zhb
 235,3uoa_L_B-C-L-M_0,B,0.310,0.211,0.211,0.310,3uoa
 236,4jmy_E_A-C-E_0,A,0.218,0.244,0.218,0.244,4jmy
 237,3sjk_B_A-B_0,A,0.220,0.252,0.220,0.252,3sjk
 238,6eja_B_A-B_0,A,0.370,0.138,0.138,0.370,6eja
 239,5oj5_B_A-B_0,A,0.261,0.200,0.200,0.261,5oj5
 240,5xcr_F_D-E-F_1,D,0.467,0.604,0.467,0.604,5xcr
 241,5xcr_F_D-E-F_1,E,0.461,0.595,0.461,0.595,5xcr
 242,4rxh_A_A-B-C_0,B,0.244,0.151,0.151,0.244,4rxh
 243,3s9c_B_A-B_0,A,0.277,0.260,0.260,0.277,3s9c
 244,3emh_B_A-B_0,A,0.247,0.195,0.195,0.247,3emh
 245,4fii_B_A-B_0,A,0.247,0.200,0.200,0.247,4fii
 246,2h9m_D_C-D_1,C,0.242,0.190,0.190,0.242,2h9m
 247,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.319,0.277,0.277,0.319,5fjz
 248,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.319,0.276,0.276,0.319,5fjz
 249,1b46_B_A-B_0,A,0.365,0.186,0.186,0.365,1b46
 250,3q49_C_B-C_0,B,0.173,0.234,0.173,0.234,3q49
 251,3oqs_B_A-B_0,A,0.238,0.148,0.148,0.238,3oqs
 252,5fow_E_A-E_0,A,0.250,0.244,0.244,0.250,5fow
 253,1a7c_B_A-B-C_0,A,0.328,0.222,0.222,0.328,1a7c
 254,3q47_C_B-C_0,B,0.177,0.245,0.177,0.245,3q47
 255,4jop_C_A-C_0,A,0.188,0.354,0.188,0.354,4jop
 256,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.176,0.325,0.176,0.325,1xb0
 257,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.176,0.323,0.176,0.323,1xb0
 258,1b5j_B_A-B_0,A,0.371,0.194,0.194,0.371,1b5j
 259,1d00_I_A-I_0,A,0.277,0.336,0.277,0.336,1d00
 260,3rc4_B_A-B_0,A,0.267,0.281,0.267,0.281,3rc4
 261,3zvy_D_B-D_0,B,0.119,0.268,0.119,0.268,3zvy
 262,3hds_E_A-D-E_0,D,0.241,0.400,0.241,0.400,3hds
 263,3hds_E_A-D-E_0,A,0.236,0.375,0.236,0.375,3hds
 264,3zin_C_A-B-C_0,A,0.237,0.147,0.147,0.237,3zin
 265,6fkp_G_C-G_2,C,0.110,0.271,0.110,0.271,6fkp
 266,4jor_D_B-D_1,B,0.192,0.363,0.192,0.363,4jor
 267,5m5u_G_A-E-G_0,A,0.322,0.223,0.223,0.322,5m5u
 268,4b3b_C_A-C_0,A,0.247,0.240,0.240,0.247,4b3b
 269,1b3l_B_A-B_0,A,0.365,0.186,0.186,0.365,1b3l
 270,3agy_C_A-B-C-D-F_0,A,0.285,0.325,0.285,0.325,3agy
 271,4k3p_E_A-B-E_0,A,0.279,0.193,0.193,0.279,4k3p
 272,4ba3_B_A-B_0,A,0.240,0.144,0.144,0.240,4ba3
